@relation AT2018_2019_2020_NBD_caso1_predicted

@attribute dia {miercoles,jueves,viernes,sabado,domingo,lunes,martes}
@attribute hora {h13,h20,h18,h21,h19,h02,h17,h12,h03,h16,h01,h08,h05,h14,h23,h07,h10,h15,h00,h11,h09,h22,h06,h04}
@attribute tipologia {atropello,'choque lateral perpendicular',estrellamiento,'choque frontal longitudinal','choque lateral angular','roce negativo',colision,'choque por alcance','roce positivo','perdida de carril','choque frontal excentrico','caida de pasajero','perdida de pista',atipico,encunetamiento,arrollamiento,rozamiento,'volcamiento lateral','volcamiento longitudinal',volcamiento}
@attribute parroquia_urbana {punzara,sucre,'san sebastian',carigan,'el sagrario','el valle'}
@attribute causas {'imprudencia del peaton','negligencia del conductor','condiciones climaticas desfavorables','fallas mecanicas no previsibles','imprudencia del conductor','conducir en estado de embriaguez','no ceder el derecho de via','cambio brusco e indebido de carril','no mantener la distancia reglamentaria','inobservancia de leyes de transito','no respetar las senales de transito','conducir en exceso de velocidad','invadir carril de circulacion','razones desconocidas','no respetar las ordenes del agente de transito','impericia del conductor'}
@attribute 'prediction margin' numeric
@attribute 'predicted nro_heridos' {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_heridos {1h,0h,3h,2h,4h,5h,6h}
@attribute nro_fallecidos {0fa,1fa}

@data
sabado,h00,estrellamiento,punzara,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h14,colision,carigan,'conducir en estado de embriaguez',0.666667,0h,0h,0fa
jueves,h22,'choque lateral angular',sucre,'imprudencia del conductor',-0.213198,0h,1h,0fa
viernes,h03,'perdida de carril',punzara,'conducir en exceso de velocidad',0.426966,0h,0h,0fa
miercoles,h17,estrellamiento,'el sagrario','imprudencia del conductor',0.661017,0h,0h,0fa
sabado,h15,'choque lateral perpendicular','el sagrario','imprudencia del conductor',0.144144,0h,0h,0fa
sabado,h12,'choque lateral perpendicular','san sebastian','imprudencia del conductor',0.144144,0h,0h,0fa
sabado,h13,'choque lateral perpendicular',punzara,'imprudencia del conductor',0.144144,0h,0h,0fa
viernes,h22,'perdida de carril',punzara,'conducir en exceso de velocidad',0.426966,0h,0h,0fa
viernes,h02,estrellamiento,sucre,'conducir en exceso de velocidad',-0.661017,0h,1h,0fa
domingo,h05,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
miercoles,h06,'choque lateral perpendicular','el valle','imprudencia del conductor',0.144144,0h,0h,0fa
lunes,h19,estrellamiento,punzara,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h14,estrellamiento,punzara,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
domingo,h07,atropello,sucre,'imprudencia del peaton',0.84,1h,1h,0fa
sabado,h07,atropello,sucre,'imprudencia del conductor',0.84,1h,1h,0fa
viernes,h20,'choque lateral angular',sucre,'imprudencia del conductor',0.213198,0h,0h,0fa
viernes,h13,'choque lateral perpendicular',punzara,'imprudencia del conductor',-0.144144,0h,1h,0fa
viernes,h15,'roce negativo','el sagrario','imprudencia del conductor',0.896552,0h,0h,0fa
viernes,h02,estrellamiento,carigan,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
jueves,h18,'choque por alcance','el valle','imprudencia del conductor',0.641791,0h,0h,0fa
miercoles,h23,estrellamiento,'el sagrario','imprudencia del conductor',-0.661017,0h,1h,0fa
jueves,h11,atropello,punzara,'imprudencia del peaton',0.84,1h,1h,0fa
jueves,h12,'choque lateral angular',sucre,'conducir en exceso de velocidad',-0.213198,0h,1h,0fa
sabado,h21,'perdida de carril',carigan,'conducir en estado de embriaguez',0.426966,0h,0h,0fa
sabado,h23,'choque por alcance','el sagrario','conducir en estado de embriaguez',0.641791,0h,0h,0fa
domingo,h00,'choque lateral perpendicular','el sagrario','conducir en estado de embriaguez',-0.144144,0h,1h,0fa
viernes,h23,'choque lateral perpendicular','el sagrario','conducir en estado de embriaguez',0.144144,0h,0h,0fa
viernes,h19,'choque lateral perpendicular','el sagrario','conducir en estado de embriaguez',0.144144,0h,0h,0fa
domingo,h00,estrellamiento,'el valle','conducir en estado de embriaguez',0.661017,0h,0h,0fa
lunes,h16,atropello,'san sebastian','imprudencia del peaton',0.84,1h,1h,0fa
lunes,h21,'choque lateral perpendicular','el sagrario','imprudencia del conductor',-0.391892,0h,2h,0fa
lunes,h21,'choque lateral perpendicular',carigan,'imprudencia del conductor',0.144144,0h,0h,0fa
martes,h06,'perdida de carril',sucre,'conducir en estado de embriaguez',-0.426966,0h,1h,0fa
miercoles,h22,estrellamiento,'el valle','imprudencia del conductor',0.661017,0h,0h,0fa
jueves,h05,'choque lateral perpendicular',sucre,'imprudencia del conductor',-0.144144,0h,1h,0fa
jueves,h19,'choque lateral perpendicular','el sagrario','no respetar las senales de transito',-0.391892,0h,2h,0fa
sabado,h22,estrellamiento,sucre,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
sabado,h08,'choque lateral perpendicular',sucre,'imprudencia del conductor',-0.144144,0h,1h,0fa
viernes,h12,estrellamiento,punzara,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
domingo,h18,'choque por alcance',sucre,'imprudencia del conductor',0.641791,0h,0h,0fa
miercoles,h13,'choque lateral perpendicular','el sagrario','imprudencia del conductor',-0.144144,0h,1h,0fa
jueves,h01,estrellamiento,'san sebastian','conducir en exceso de velocidad',0.661017,0h,0h,0fa
sabado,h06,'perdida de carril',punzara,'conducir en exceso de velocidad',0.426966,0h,0h,0fa
viernes,h02,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
sabado,h12,estrellamiento,punzara,'conducir en estado de embriaguez',-0.661017,0h,1h,0fa
sabado,h11,'choque lateral angular',sucre,'no respetar las senales de transito',-0.213198,0h,1h,0fa
viernes,h02,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
miercoles,h08,'roce negativo',punzara,'imprudencia del conductor',-0.896552,0h,1h,0fa
lunes,h13,'roce negativo',sucre,'conducir en estado de embriaguez',0.896552,0h,0h,0fa
lunes,h15,atropello,sucre,'conducir en exceso de velocidad',0.84,1h,1h,0fa
martes,h07,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
martes,h11,'choque lateral perpendicular','el sagrario','no respetar las senales de transito',-0.144144,0h,1h,0fa
jueves,h07,'choque lateral perpendicular','el sagrario','no respetar las senales de transito',0.144144,0h,0h,0fa
domingo,h14,'choque lateral angular','san sebastian','imprudencia del conductor',-0.451777,0h,2h,0fa
viernes,h19,estrellamiento,sucre,'conducir en estado de embriaguez',0.661017,0h,0h,0fa
jueves,h13,'choque lateral perpendicular',sucre,'imprudencia del conductor',0.144144,0h,0h,0fa
miercoles,h16,'choque por alcance','el sagrario','imprudencia del conductor',0.641791,0h,0h,0fa
martes,h15,atropello,'el sagrario','imprudencia del peaton',0.84,1h,1h,0fa
miercoles,h08,'choque lateral angular',sucre,'imprudencia del conductor',-0.213198,0h,1h,0fa
miercoles,h21,'roce negativo',sucre,'imprudencia del conductor',-0.896552,0h,1h,0fa
miercoles,h22,'choque lateral perpendicular',punzara,'no respetar las senales de transito',-0.144144,0h,1h,0fa
jueves,h02,estrellamiento,sucre,'conducir en exceso de velocidad',0.661017,0h,0h,0fa
viernes,h06,atipico,carigan,'imprudencia del conductor',0.533333,0h,0h,0fa
viernes,h13,atipico,sucre,'fallas mecanicas no previsibles',0.533333,0h,0h,0fa
