fecha,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
10-19,08:57,-3.9776775,-79.2359562,perdida de carril,angel felicisimo rojas,urbana,carigan,conducir en exceso de velocidad,0,0
10-20,10:05,-4.0046937,-79.2034396,atropello,cariamanga entre 18 de noviembre y sucre,urbana,san sebastian,conducir en exceso de velocidad,1,0
10-21,12:45,-4.0098643,-79.2016305,perdida de carril,alamor y eduardo kingman,urbana,san sebastian,conducir en exceso de velocidad,0,0
10-22,06:04,-3.9596631,-79.2165139,choque por alcance,8 de diciembre y manuela saenz,urbana,carigan,no mantener la distancia reglamentaria,0,0
10-22,16:42,-3.9794092,-79.2143823,choque por alcance,isidro ayora y asuncion,urbana,sucre,no mantener la distancia reglamentaria,0,0
10-22,21:49,-3.984391,-79.194081,perdida de carril,via a yanacocha y sin nombre,urbana,el valle,conducir en exceso de velocidad,0,0
10-22,21:18,-4.0263177,-79.2131357,choque lateral perpendicular,juan pio montufar y antonio vivaldi,urbana,punzara,no ceder el derecho de via,0,0
10-25,13:40,-4.0098125,-79.1999772,choque frontal excentrico,maximo agustin rodriguez y grabiela mistral,urbana,san sebastian,conducir en estado de embriaguez,0,0
10-27,01:40,-4.0147886,-79.20761,choque lateral angular,manuel carrion pinzano y jose palacios,urbana,punzara,conducir en estado de embriaguez,1,0
10-27,06:24,-3.9871257,-79.2054788,choque lateral perpendicular,cuxibamba y bolivar bailon,urbana,sucre,conducir en estado de embriaguez,1,0
10-28,23:59,-3.9992504,-79.2044751,choque lateral perpendicular,universitaria y miguel riofrio,urbana,sucre,no ceder el derecho de via,0,0
11-01,07:23,-3.979637,-79.232238,atropello,isidro ayora,urbana,sucre,conducir en estado de embriaguez,1,0
11-02,14:28,-3.99812471,-79.233594,choque por alcance,isidro ayora y angel felicisimo rojas,urbana,sucre,conducir en estado de embriaguez,0,0
11-02,22:46,-3.9765068,-79.2019701,choque lateral perpendicular,orillas del zamora y isidro ayora,urbana,el valle,no ceder el derecho de via,0,0
11-02,21:24,-4.013128,-79.203273,roce negativo,manuel agustin aguirre y gobernacion de mainas,urbana,punzara,conducir en estado de embriaguez,0,0
11-03,16:40,-3.970399,-79.2074727,perdida de carril,8 de diciembre y diego noboa,urbana,sucre,conducir en exceso de velocidad,1,0
11-05,08:20,-3.9758556,-79.2081627,atropello,turunuma y valencia instalaciones del centro de acopio loja gas,urbana,sucre,imprudencia del conductor,0,1
11-06,08:40,-3.9698658,-79.2079436,choque lateral perpendicular,8 de diciembre y jaime roldos aguilera,urbana,carigan,no ceder el derecho de via,0,0
11-07,00:05,-4.0097307,-79.2046875,perdida de carril,pio jaramillo alvarado y chile,urbana,punzara,conducir en exceso de velocidad,0,1
11-08,09:50,-3.9980143,-79.2366593,perdida de carril,angel felicisimo rojas y villonaco,urbana,sucre,conducir en exceso de velocidad,1,0
11-08,13:55,-4.0028825,-79.1967355,estrellamiento,leopoldo palacios entre macara y sabiango,urbana,el sagrario,conducir en exceso de velocidad,0,0
11-08,16:25,-4.0141118,-79.2009757,colision,eduardo kingman y gobernacion de mainas,urbana,san sebastian,conducir en estado de embriaguez,0,0
11-09,04:15,-3.9941262,-79.2101989,perdida de carril,manuel carrion pinzano,urbana,sucre,conducir en exceso de velocidad,0,0
11-10,14:25,-3.919663,-79.258167,choque por alcance,via loja cuenca,urbana,carigan,no mantener la distancia reglamentaria,0,0
11-10,14:40,-4.026837,-79.203097,choque lateral angular,pio jaramillo alvarado y galileo galilei,urbana,punzara,no ceder el derecho de via,1,0
11-10,00:20,-3.9875595,-79.235942,choque frontal excentrico,angel felicisimo rojas,urbana,sucre,conducir en estado de embriaguez,0,0
11-11,13:50,-3.977028,-79.204905,choque por alcance,isidro ayora y 8 de diciembre,urbana,sucre,no mantener la distancia reglamentaria,0,0
11-12,21:14,-3.9622199,-79.2148281,atropello,8 de diciembre y pedro de leiva,urbana,carigan,imprudencia del peaton,1,0
11-13,15:05,-3.9864209,-79.1906269,choque lateral angular,via loja zamora,urbana,el valle,conducir en estado de embriaguez,3,0
11-13,18:00,-4.0102037,-79.2046988,choque lateral angular,pio jaramillo alvarado y chile,urbana,punzara,imprudencia del conductor,0,0
11-14,17:47,-4.0296989,-79.2071083,choque lateral perpendicular,milton patino y tnte hugo ortiz,urbana,punzara,no ceder el derecho de via,1,0
11-15,08:40,-3.9824787,-79.2053947,choque lateral perpendicular,cuxibamba y riobamba,urbana,sucre,imprudencia del conductor,2,0
11-16,00:09,-3.9783742,-79.2267433,choque frontal excentrico,isidro ayora,urbana,sucre,conducir en estado de embriaguez,1,1
11-16,12:20,-3.9956576,-79.206828819,choque lateral angular,lauro guerrero y colon,urbana,el sagrario,no ceder el derecho de via,2,1
11-17,01:04,-3.9919012,-79.1481434,perdida de carril,"via loja zamora desde la y del valle al lugar del accidente 12,85kilometros",rural,n/n,conducir en exceso de velocidad,4,1
11-15,23:19,-3.9737596,-79.2464604,estrellamiento,via catamayo - loja,rural,n/n,conducir en exceso de velocidad,0,0
11-16,04:30,-4.0001164,-79.2335872,estrellamiento,angel felicisimo rojas,urbana,sucre,conducir en estado de embriaguez,1,0
11-16,13:40,-3.9894015,-79.2053331,choque lateral perpendicular,cuxibamba y canar,urbana,sucre,imprudencia del conductor,0,0
11-16,21:49,-4.0015245,-79.2055762,choque lateral perpendicular,mercadillo y lauro guerrero,urbana,sucre,imprudencia del conductor,0,0
11-16,22:44,-3.9804632,-79.2003199,choque por alcance,oriental de paso y portoviejo,urbana,el valle,no mantener la distancia reglamentaria,1,0
11-17,14:27,-3.9830019,-79.2034178,choque lateral angular,santo domingo y riobamba,urbana,sucre,no respetar las senales de transito,0,0
11-17,19:44,-4.1431595,-79.2053764,perdida de carril,setor tres leguas,rural,n/n,conducir en exceso de velocidad,1,0
11-18,08:40,-3.9793225,-79.2126647,colision,isidro ayora y montevideo,urbana,sucre,imprudencia del conductor,0,0
11-18,10:45,-4.0059573,-79.2041504,choque lateral perpendicular,manuel agustin aguirre y brasil,urbana,el sagrario,no respetar las senales de transito,4,0
11-19,01:05,-3.997053,-79.199099,choque por alcance,juan jose pena y 10 de agosto,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-19,16:15,-3.9773185,-79.2356253,choque lateral angular,angel felicisimo rojas,urbana,sucre,conducir en exceso de velocidad,0,0
11-19,15:25,-3.9729858,-79.2183535,estrellamiento,pablo palacios,urbana,n/n,conducir en exceso de velocidad,1,0
11-19,18:08,-4.036152,-79.203339,atipico,sin nombre / interior de las instalaciones de la universidad nacional de loja,urbana,punzara,imprudencia del conductor,0,0
11-21,11:05,-3.9770205,-79.2045282,roce negativo,8 de diciembre y isidro ayora,urbana,el valle,no mantener la distancia reglamentaria,0,0
11-22,17:40,-3.7077024,-79.2720797,perdida de carril,barrio ramos via panamericana,rural,n/n,conducir en estado de embriaguez,3,1
11-22,10:58,-4.025559,-79.210896,choque lateral angular,cesar frank y eloy alfaro,urbana,punzara,no respetar las senales de transito,1,0
11-22,01:50,-3.977331,-79.204696,perdida de carril,8 de diciembre y isidro ayora,urbana,el valle,conducir en exceso de velocidad,0,0
11-22,05:12,-3.97854,-79.207722,perdida de carril,manuel carrion pinzano y victoriano palacios,urbana,el valle,conducir en exceso de velocidad,0,0
11-23,01:11,-3.9922596,-79.2010708,choque lateral perpendicular,orillas del zamora y jose felix de valdivieso,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-23,11:09,-4.004192,-79.214711,estrellamiento,cayapas y najaros,urbana,sucre,conducir en exceso de velocidad,0,0
11-23,20:14,-3.9805556,-79.2837007,perdida de carril,via loja catamayo sector villonaco,urbana,n/n,conducir en exceso de velocidad,0,0
11-24,05:15,-3.9966718,-79.2052574,estrellamiento,manuel agustin aguirre y jose antonio eguiguren,urbana,sucre,conducir en estado de embriaguez,0,0
11-22,23:39,-3.9527701,-79.267775,roce positivo,via loja catamayo,rural,n/n,conducir en estado de embriaguez,1,0
11-24,17:01,-3.9942802,-79.2033116,choque lateral perpendicular,sucre e imbabura,urbana,el sagrario,no ceder el derecho de via,1,0
11-26,18:30,-3.9790397,-79.2023165,choque lateral perpendicular,babahoyo y chone,urbana,el valle,conducir en exceso de velocidad,1,0
11-26,22:32,-4.0282312,-79.2086077,estrellamiento,eloy alfaro a la altura del upc,urbana,punzara,conducir en exceso de velocidad,0,0
11-29,01:30,-4.0228672,-79.2003706,perdida de carril,eduardo kingman,urbana,san sebastian,imprudencia del conductor,1,1
11-29,22:19,-4.0025373,-79.2074781,choque por alcance,pio jaramillo alvarado entre tnt maximiliano rodriguez y mercadillo,urbana,sucre,no mantener la distancia reglamentaria,0,0
11-29,23:24,-3.98141,-79.2015199,choque lateral angular,salvador bustamante celi y guayaquil,urbana,el valle,conducir en estado de embriaguez,0,0
11-30,02:15,-3.9969599,-79.2001607,choque lateral angular,10 de agosto y olmedo,urbana,el sagrario,conducir en estado de embriaguez,0,0
11-30,06:50,-3.9829856,-79.2009556,estrellamiento,portoviejo y esmeraldas,urbana,el valle,conducir en estado de embriaguez,0,0
11-30,04:34,-3.7353884,-79.2638898,estrellamiento,via loja saraguro,rural,n/n,conducir en exceso de velocidad,0,0
11-30,16:05,-3.980719,-79.224103,estrellamiento,cumanda a 50 metros pasando el colegio jose maria vivar castro en direcion al sur,urbana,sucre,conducir en exceso de velocidad,0,0
12-01,00:18,-3989022,-79.203937,estrellamiento,nueva loja y machala,urbana,sucre,conducir en estado de embriaguez,0,0
12-01,04:30,-3.986909,-79.214856,atropello,san carlos y la cruz,urbana,sucre,conducir en estado de embriaguez,1,0
12-01,06:45,-3.006988,-79.205436,choque lateral angular,brasil y pio jaramillo alvarado,urbana,el sagrario,no respetar las senales de transito,0,0
12-01,02:20,-3.9964755,-79.2052803,choque lateral perpendicular,manuel agustin aguirre y jose antonio eguiguren,urbana,sucre,conducir en estado de embriaguez,1,0
12-01,09:30,-3.9603996,-79.2163935,estrellamiento,8 de diciembre y belisario moreno,urbana,carigan,imprudencia del conductor,0,0
12-01,05:20,-3.9887226,-79.2102521,colision,manuel carrion pinzano y pedro falconi,urbana,sucre,conducir en estado de embriaguez,0,0
12-01,19:29,-4.2124976,-79.246709,rozamiento,s/n via malacatos loja,rural,n/n,imprudencia del conductor,0,0
12-02,16:42,-3.9384964,-79.2258358,atropello,"8 de diciembre en la bifurcacion en ""y"" / pablo picasso y via antigua a cuenca",urbana,carigan,imprudencia del conductor,0,1
12-03,01:15,-4.003576,-79.212568,perdida de carril,de los paltas y tnt maximiliano rodriguez,urbana,punzara,conducir en estado de embriaguez,3,0
12-03,05:00,-3.993983,-79.279496,perdida de carril,via loja catamayo,rural,n/n,conducir en exceso de velocidad,0,0
12-04,22:44,-3.999493,-79.205436,choque lateral perpendicular,universitaria y miguel riofrio,urbana,el sagrario,no respetar las senales de transito,0,0
12-05,22:34,-4.0768988,-79.1963763,perdida de carril,exodo de yangana,urbana,punzara,conducir en estado de embriaguez,1,0
