dia,hora,tipologia,parroquia_urbana,causas,nro_heridos,nro_fallecidos
domingo,h09,choque lateral perpendicular,san sebastian,no respetar las senales de transito,0,0
domingo,h15,choque lateral angular,carigan,cambio brusco e indebido de carril,1,0
domingo,h15,perdida de carril,el valle,conducir en exceso de velocidad,4,0
lunes,h19,estrellamiento,sucre,conducir en estado de embriaguez,0,0
martes,h15,atipico,punzara,imprudencia del conductor,1,0
martes,h21,choque lateral perpendicular,san sebastian,no ceder el derecho de via,3,0
miercoles,h18,atipico,sucre,imprudencia del conductor,0,0
miercoles,h22,choque lateral angular,san sebastian,no respetar las senales de transito,0,0
jueves,h10,choque lateral perpendicular,sucre,no ceder el derecho de via,1,0
jueves,h15,choque lateral perpendicular,sucre,no respetar las senales de transito,1,0
viernes,h07,choque lateral perpendicular,punzara,conducir en estado de embriaguez,2,0
viernes,h04,estrellamiento,punzara,conducir en exceso de velocidad,1,0
jueves,h15,estrellamiento,san sebastian,imprudencia del conductor,0,0
sabado,h22,choque lateral angular,sucre,conducir en estado de embriaguez,1,0
domingo,h14,choque lateral perpendicular,san sebastian,no ceder el derecho de via,1,0
domingo,h16,atropello,sucre,conducir en estado de embriaguez,2,0
miercoles,h10,choque lateral perpendicular,el valle,no ceder el derecho de via,0,0
miercoles,h20,atropello,punzara,imprudencia del peaton,1,0
jueves,h14,perdida de carril,el valle,conducir en exceso de velocidad,0,0
jueves,h18,perdida de carril,carigan,conducir en estado de embriaguez,5,1
domingo,h06,choque lateral perpendicular,sucre,conducir en estado de embriaguez,0,0
domingo,h15,estrellamiento,sucre,conducir en exceso de velocidad,0,0
lunes,h17,arrollamiento,carigan,imprudencia del peaton,1,0
lunes,h19,choque por alcance,punzara,conducir en estado de embriaguez,2,0
lunes,h23,choque lateral perpendicular,san sebastian,no ceder el derecho de via,1,0
martes,h08,choque lateral angular,sucre,no respetar las senales de transito,1,0
martes,h01,estrellamiento,el valle,conducir en exceso de velocidad,0,0
martes,h22,choque lateral angular,punzara,conducir en estado de embriaguez,0,0
miercoles,h07,choque lateral angular,el valle,no ceder el derecho de via,0,0
jueves,h16,choque por alcance,el sagrario,no mantener la distancia reglamentaria,0,0
viernes,h04,estrellamiento,carigan,conducir en exceso de velocidad,0,0
viernes,h21,choque lateral perpendicular,el sagrario,conducir en estado de embriaguez,2,0
domingo,h05,estrellamiento,sucre,conducir en exceso de velocidad,0,0
lunes,h23,estrellamiento,sucre,conducir en exceso de velocidad,0,0
martes,h19,estrellamiento,el valle,conducir en estado de embriaguez,1,0
miercoles,h05,estrellamiento,el valle,conducir en exceso de velocidad,0,0
jueves,h01,estrellamiento,punzara,conducir en estado de embriaguez,0,0
jueves,h09,choque lateral angular,sucre,no ceder el derecho de via,1,0
jueves,h11,atropello,el sagrario,imprudencia del peaton,1,0
jueves,h13,atropello,san sebastian,conducir en estado de embriaguez,2,0
sabado,h11,atropello,sucre,imprudencia del peaton,1,0
domingo,h02,estrellamiento,el sagrario,conducir en estado de embriaguez,0,0
domingo,h05,perdida de carril,sucre,conducir en exceso de velocidad,1,0
domingo,h17,colision,punzara,conducir en estado de embriaguez,2,0
miercoles,h06,estrellamiento,carigan,conducir en exceso de velocidad,0,0
sabado,h17,atropello,sucre,imprudencia del peaton,1,0
domingo,h01,choque lateral perpendicular,sucre,no ceder el derecho de via,1,0
sabado,h12,estrellamiento,san sebastian,conducir en exceso de velocidad,3,0
miercoles,h15,estrellamiento,sucre,conducir en exceso de velocidad,0,0
miercoles,h18,perdida de carril,carigan,conducir en exceso de velocidad,0,0
jueves,h11,estrellamiento,sucre,conducir en estado de embriaguez,0,0
viernes,h04,perdida de carril,sucre,conducir en exceso de velocidad,0,0
viernes,h13,choque lateral perpendicular,el sagrario,no ceder el derecho de via,1,0
viernes,h13,atropello,el sagrario,imprudencia del peaton,1,0
viernes,h16,estrellamiento,sucre,conducir en exceso de velocidad,1,0
domingo,h15,choque por alcance,san sebastian,conducir en estado de embriaguez,0,0
domingo,h19,choque por alcance,sucre,no mantener la distancia reglamentaria,0,0
domingo,h21,choque frontal excentrico,sucre,invadir carril de circulacion,1,0
lunes,h03,estrellamiento,punzara,conducir en exceso de velocidad,3,0
martes,h07,choque lateral perpendicular,san sebastian,imprudencia del conductor,1,0
miercoles,h16,atipico,san sebastian,imprudencia del conductor,1,0
jueves,h11,choque lateral angular,san sebastian,no ceder el derecho de via,0,0
sabado,h06,choque por alcance,san sebastian,no mantener la distancia reglamentaria,0,0
viernes,h22,choque lateral perpendicular,san sebastian,conducir en exceso de velocidad,0,1
sabado,h18,choque lateral perpendicular,el valle,conducir en estado de embriaguez,0,0
lunes,h11,atropello,el valle,imprudencia del peaton,1,0
lunes,h14,choque lateral angular,el valle,no ceder el derecho de via,0,0
lunes,h21,atropello,carigan,imprudencia del peaton,1,0
miercoles,h21,choque lateral perpendicular,el valle,no respetar las senales de transito,0,0
jueves,h03,estrellamiento,san sebastian,conducir en exceso de velocidad,0,0
viernes,h06,estrellamiento,el sagrario,conducir en exceso de velocidad,1,0
sabado,h05,perdida de carril,sucre,conducir en exceso de velocidad,0,0
domingo,h09,choque lateral perpendicular,san sebastian,no ceder el derecho de via,0,0
lunes,h09,roce negativo,sucre,no mantener la distancia reglamentaria,0,0
lunes,h13,choque lateral perpendicular,san sebastian,no ceder el derecho de via,0,0
lunes,h22,choque lateral angular,el sagrario,no ceder el derecho de via,0,0
martes,h00,perdida de carril,el valle,conducir en exceso de velocidad,0,0
martes,h04,estrellamiento,el sagrario,conducir en exceso de velocidad,0,0
martes,h17,choque lateral angular,sucre,imprudencia del conductor,0,0
miercoles,h18,atipico,san sebastian,imprudencia del conductor,1,0
jueves,h10,choque lateral angular,san sebastian,imprudencia del conductor,1,0
jueves,h22,choque lateral perpendicular,san sebastian,no ceder el derecho de via,2,0
