fecha,dia,hora,tipologia,direccion,zona,parroquia_urbana,causas,nro_heridos,nro_fallecidos
03-24,sabado,03:30,choque lateral perpendicular,los paltas y francia,urbana,punzara,razones desconocidas,0,0
03-26,lunes,05:39,volcamiento lateral,brasil y argentina,urbana,punzara,razones desconocidas,4,0
03-27,martes,17:15,atropello,isidro ayora y habana,urbana,sucre,razones desconocidas,1,0
03-27,martes,20:16,choque lateral perpendicular,nogales y arupos,urbana,san sebastian,razones desconocidas,0,0
03-29,jueves,02:00,estrellamiento,emiliano ortega y 24 de mayo,urbana,el sagrario,razones desconocidas,0,0
03-31,sabado,10:50,choque lateral perpendicular,manuel agustin aguirre y chile,urbana,punzara,razones desconocidas,0,0
04-01,domingo,05:25,estrellamiento,miguel morelo y sin nombre,urbana,punzara,razones desconocidas,0,0
04-02,lunes,09:15,choque lateral angular,justiniano estupinan y pio montufar,urbana,punzara,razones desconocidas,0,0
04-04,miercoles,20:25,choque lateral angular,eugenio espejo,urbana,sucre,razones desconocidas,1,0
04-05,jueves,09:09,choque lateral angular,manuel agustin aguirre y gobernacion de mainas,urbana,punzara,razones desconocidas,1,0
04-07,sabado,05:42,estrellamiento,barrio turunuma barcelona,urbana,sucre,razones desconocidas,0,0
04-07,sabado,22:10,choque lateral angular,mercadillo y ramon pinto,urbana,el sagrario,razones desconocidas,2,0
04-08,domingo,09:03,choque lateral angular,8 de diciembre y jaime roldos aguilera,urbana,carigan,razones desconocidas,0,0
04-09,lunes,15:00,atipico,brasil y honduras,urbana,punzara,razones desconocidas,0,0
04-11,miercoles,07:25,estrellamiento,salvador bustamante celi y daniel armijos,urbana,el valle,razones desconocidas,0,0
04-11,miercoles,18:15,choque lateral angular,santo domingo y riobamba,urbana,sucre,razones desconocidas,1,0
04-11,miercoles,20:08,choque lateral angular,emiliano ortega y lourdes,urbana,el sagrario,razones desconocidas,0,0
04-12,jueves,16:23,roce negativo,juan de salinas entre bolivar y emiliano ortega.,urbana,el sagrario,razones desconocidas,0,0
04-13,viernes,18:10,estrellamiento,barrio ciudad victoria / dolores cacuango y nela martinez,urbana,sucre,razones desconocidas,0,0
04-14,sabado,11:28,estrellamiento,azuay entre lauro guerrero y ramon pinto,urbana,el sagrario,razones desconocidas,0,0
04-15,domingo,05:30,choque lateral angular,cuxibamba y 8 de diciembre,urbana,sucre,razones desconocidas,2,0
04-15,domingo,08:25,choque lateral angular,sucre y gonzanama,urbana,san sebastian,razones desconocidas,0,0
04-16,lunes,15:52,choque por alcance,mercadillo entre bernardo valdivieso y bolivar,urbana,san sebastian,razones desconocidas,0,0
04-19,jueves,17:42,choque lateral angular,emiliano ortega y juan jose pena,urbana,el sagrario,razones desconocidas,0,0
04-19,jueves,21:20,choque lateral angular,bolivar y azuay,urbana,el sagrario,razones desconocidas,0,0
04-20,viernes,18:11,atropello,pasaje la feue entre lauro guerrero y manuel agustin aguirre,urbana,el sagrario,razones desconocidas,1,0
04-23,lunes,07:35,choque lateral angular,eduardo kingman y catamayo,urbana,san sebastian,razones desconocidas,0,0
04-23,lunes,17:17,choque lateral angular,universitaria y celica,urbana,san sebastian,razones desconocidas,0,0
04-24,martes,07:00,choque por alcance,8 de diciembre y pablo palacios,urbana,carigan,razones desconocidas,0,0
04-25,miercoles,12:10,estrellamiento,rocafuerte y sucre,urbana,el sagrario,razones desconocidas,0,0
04-25,miercoles,22:45,estrellamiento,santiago de las montanas y juan velazco,urbana,el valle,razones desconocidas,0,0
04-26,jueves,20:20,choque lateral angular,mercadillo y ramon pinto,urbana,el sagrario,razones desconocidas,0,0
04-27,viernes,01.10,estrellamiento,sixto duran y eduardo rubianes,urbana,san sebastian,razones desconocidas,0,0
04-28,sabado,05:38,perdida de pista,angel felicisimo rojas y eugenio espejo,urbana,sucre,razones desconocidas,0,0
04-29,domingo,08:30,choque lateral angular,manuel carrion pinzano y eduardo unda,urbana,sucre,razones desconocidas,0,0
05-03,jueves,07:52,colision,orillas del zamora y isdro ayora,urbana,el valle,razones desconocidas,0,0
05-06,domingo,04:10,choque por alcance,angel felicisimo rojas,urbana,sucre,razones desconocidas,4,0
05-07,lunes,07:17,choque lateral angular,pio jaramillo alvarado y leonardo davinci,urbana,punzara,razones desconocidas,0,0
05-07,lunes,13:35,roce negativo,"av, 24 de mayo y lourdes",urbana,el sagrario,razones desconocidas,0,0
05-08,martes,19:24,choque lateral angular,salvador bustamante celi y puna,urbana,el valle,razones desconocidas,0,0
05-09,miercoles,16:33,choque lateral angular,de los paltas y alberto zambrano,urbana,sucre,razones desconocidas,0,0
05-11,viernes,07:13,choque lateral angular,manuel zambrano y malvinas,urbana,punzara,razones desconocidas,0,0
05-12,sabado,02:45,estrellamiento,santa marianita de jesus,urbana,el sagrario,razones desconocidas,0,0
05-13,domingo,02:14,choque lateral angular,de los paltas y bulgaria,urbana,punzara,razones desconocidas,0,0
05-13,domingo,01:30,choque frontal excentrico,eugenio espejo y pakistan,urbana,sucre,razones desconocidas,0,0
05-13,domingo,10:18,choque por alcance,gran colombia y tulcan,urbana,sucre,razones desconocidas,0,0
05-14,lunes,05:54,choque lateral angular,jipiro agustin carrion y sin nombre,urbana,el valle,razones desconocidas,0,0
05-15,martes,06:00,choque lateral angular,pablo palacios y dr. arturo armijos ayala,urbana,carigan,razones desconocidas,0,0
05-16,miercoles,00:00,estrellamiento,8 de diciembre y fenix,urbana,carigan,razones desconocidas,1,0
05-17,jueves,14:20,choque lateral angular,pio jaramillo alvarado y dr. jose maria vivar castro,urbana,punzara,razones desconocidas,0,0
05-18,viernes,19:25,arrollamiento,manuel agustin aguirre y miguel riofrio,urbana,el sagrario,razones desconocidas,0,0
