fecha,hora,latitud,longitud,tipologia,direccion,zona,parroquia_urbana,causas,gravedad,nro_heridos,nro_fallecidos,vehiculos_retenidos,senalizacion_existente,condicion_calzada,condicion_atmosferica
03-16,21:59,-3.9941501,-79.2116608,estrellamiento,s/n,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-21,21:19,-3.976024,-79.227284,perdida de carril,s/n,urbana,sucre,fallas mecanicas no previsibles,grave,6.0,0.0,1.0,ninguna,seca,semicubierto
03-22,07:28,-3.9534859,-79.2481544,choque por alcance,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
03-22,20:09,-3.9641724,-79.2135206,estrellamiento,8 de diciembre,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-23,07:34,-4.0074012,-79.2032154,choque lateral perpendicular,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-23,15:00,-4.213109,-79.2531,choque frontal excentrico,s/n,rural,n/n,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
03-28,10:00,-3.9906506,-79.2051288,choque lateral perpendicular,s/n,urbana,sucre,no respetar las senales de transito,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-28,03:06,-4.3189961,-79.235891,estrellamiento,s/n,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,despejado
03-27,23:00,-4.2063182,-79.2251467,perdida de carril,s/n,rural,n/n,conducir en exceso de velocidad,grave,0.0,1.0,1.0,ninguna,seca,despejado
03-27,14:10,-4.0005688,-79.2130698,choque lateral perpendicular,s/n,urbana,sucre,conducir en exceso de velocidad,grave,1.0,0.0,2.0,ninguna,seca,cubierto
03-26,15:22,-4.0001985,-79.1988727,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
03-31,22:44,-3.985761,-79.169591,choque por alcance,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
03-31,12:00,-3.9982763,-79.2050904,atropello,s/n,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
04-03,19:54,-3.995984,-79.199221,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,cubierto
04-03,12:20,-4.000006,-79.196206,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
04-08,20:39,-4.00247,-79.22744,estrellamiento,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
04-08,21:19,-3.9590419,-79.2659054,choque por alcance,s/n,rural,n/n,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,seca,despejado
04-10,18:30,-4.0280538,-79.2028097,choque lateral angular,s/n,urbana,san sebastian,conducir en exceso de velocidad,grave,2.0,0.0,2.0,ninguna,seca,cubierto
04-09,23:04,-3.9897975,-79.2118438,estrellamiento,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
04-12,05:50,-4.0023199,-79.1997609,choque lateral perpendicular,s/n,urbana,san sebastian,imprudencia del conductor,grave,2.0,0.0,2.0,ninguna,mojada,cubierto
04-14,08:36,-3.9770813,-79.2051143,colision,s/n,urbana,sucre,fallas mecanicas no previsibles,leve,0.0,0.0,2.0,ninguna,seca,cubierto
04-14,16:55,-3.960301,-79.216187,choque lateral angular,8 de diciembre,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,cubierto
04-15,22:19,-3.984992,-79.2024673,choque lateral angular,s/n,urbana,sucre,conducir en estado de embriaguez,grave,1.0,0.0,2.0,ninguna,seca,semicubierto
04-16,12:07,-4.0141256,-79.204197,choque lateral perpendicular,s/n,urbana,punzara,imprudencia del conductor,grave,1.0,0.0,2.0,senalizacion vertical,seca,despejado
04-17,17:55,-4.0140319,-79.2151377,colision,s/n,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,semicubierto
04-19,21:44,-3.9581101,-79.2184525,estrellamiento,8 de diciembre,urbana,carigan,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,despejado
04-23,13:20,-3.9771378,-79.2058027,colision,s/n,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,despejado
04-28,16:50,-4.0056507,-79.2025327,choque lateral angular,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
05-01,01:35,-4.0026457,-79.1948066,perdida de carril,s/n,urbana,san sebastian,conducir en estado de embriaguez,leve,0.0,0.0,1.0,senalizacion vertical,seca,cubierto
04-30,13:45,-3.9939607,-79.2003909,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,grave,2.0,0.0,2.0,senalizacion vertical,seca,cubierto
04-29,14:25,-4.001524,-79.208848,choque frontal excentrico,s/n,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion vertical,seca,semicubierto
04-29,06:30,-3.918629,-79.78382,choque por alcance,s/n,rural,n/n,fallas mecanicas no previsibles,grave,1.0,0.0,2.0,ninguna,seca,cubierto
05-03,06:00,-3.9842117,-79.1979083,choque lateral angular,s/n,urbana,el valle,conducir en exceso de velocidad,grave,3.0,0.0,2.0,ninguna,seca,cubierto
05-04,13:35,-3.9995496,-7.92057547E8,choque lateral perpendicular,s/n,urbana,el sagrario,conducir en exceso de velocidad,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
05-05,23:31,-3.9704094,-79.2074676,estrellamiento,8 de diciembre,urbana,carigan,conducir en exceso de velocidad,leve,0.0,0.0,1.0,senalizacion vertical,seca,despejado
05-08,19:09,-3.959031,-79.207765,estrellamiento,8 de diciembre,urbana,carigan,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,cubierto
05-07,23:04,-3.979533,-79.207765,perdida de carril,s/n,urbana,sucre,conducir en exceso de velocidad,grave,2.0,0.0,1.0,ninguna,seca,despejado
05-07,22:04,-4.002461,-79.201682,choque lateral perpendicular,s/n,urbana,san sebastian,no respetar las senales de transito,leve,0.0,0.0,2.0,ninguna,seca,despejado
05-07,21:49,-4.013094,-79.202741,choque por alcance,s/n,urbana,san sebastian,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,seca,despejado
05-06,21:44,-3.999028,-79.199,atipico,s/n,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion vertical,seca,cubierto
05-06,16:32,-4.0248052,-79.209115,choque lateral perpendicular,s/n,urbana,punzara,conducir en exceso de velocidad,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
05-10,06:00,-3.9605416,-79.2396567,estrellamiento,s/n,urbana,carigan,conducir en exceso de velocidad,grave,2.0,0.0,2.0,ninguna,seca,cubierto
05-12,20:14,-3.9682048,-79.1977198,estrellamiento,s/n,urbana,el valle,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,seca,semicubierto
05-12,12:25,-4.0141384,-79.2043234,choque lateral angular,s/n,urbana,punzara,conducir en exceso de velocidad,grave,1.0,0.0,2.0,ninguna,seca,cubierto
05-13,19:44,-4.118688,-79.2024893,perdida de carril,s/n,rural,n/n,conducir en estado de embriaguez,grave,2.0,0.0,1.0,ninguna,seca,despejado
05-13,20:16,-3.9918306,-79.2107065,perdida de carril,s/n,urbana,sucre,conducir en estado de embriaguez,grave,2.0,0.0,0.0,ninguna,seca,semicubierto
05-14,06:40,-3.9202771,-79.2549154,choque frontal excentrico,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
05-17,21:49,-4.0177651,-79.209967,estrellamiento,s/n,urbana,punzara,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,seca,despejado
05-20,11:25,-4.010404,-79.202085,estrellamiento,s/n,urbana,san sebastian,cruce de animales en la via,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
05-20,13:50,-3.948976,-79.216208,choque lateral perpendicular,s/n,urbana,el valle,imprudencia del conductor,grave,1.0,0.0,1.0,ninguna,seca,semicubierto
05-21,02:00,-3.948976,-79.216208,estrellamiento,s/n,urbana,el valle,conducir en exceso de velocidad,leve,0.0,0.0,1.0,ninguna,seca,cubierto
05-23,23:29,-3.8322941,-79.2926433,choque frontal excentrico,s/n,rural,n/n,imprudencia del conductor,leve,0.0,0.0,2.0,ninguna,mojada,cubierto
05-23,11:55,-4.0015687,-79.206753,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion vertical,seca,semicubierto
05-23,,,,perdida de carril,s/n,rural,n/n,conducir en estado de embriaguez,grave,1.0,0.0,1.0,ninguna,regular,nublado
05-22,,,,estrellamiento,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,regular,nublado
05-23,,,,encunetamiento,s/n,rural,n/n,imprudencia del conductor,grave,5.0,0.0,1.0,ninguna,regular,nublado
05-21,,,,estrellamiento,s/n,urbana,sucre,imprudencia del conductor,leve,0.0,0.0,1.0,ninguna,regular,nublado
05-22,,,,estrellamiento,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,1.0,ninguna,regular,nublado
05-22,,,,choque por alcance,s/n,rural,n/n,conducir en estado de embriaguez,leve,0.0,0.0,2.0,ninguna,regular,nublado
05-26,08:30,-3.9947394,-79.199264,choque lateral angular,s/n,urbana,el sagrario,imprudencia del conductor,grave,2.0,0.0,2.0,senalizacion vertical,seca,despejado
05-25,15:20,-4.003318,-79.195468,perdida de pista,s/n,urbana,san sebastian,fallas mecanicas no previsibles,grave,1.0,0.0,1.0,ninguna,seca,despejado
05-25,21:39,-3.9979669,-79.1990699,choque lateral angular,s/n,urbana,el sagrario,conducir en exceso de velocidad,grave,1.0,0.0,2.0,senalizacion vertical,seca,semicubierto
05-28,01:00,-3.9807834,-79.2120274,estrellamiento,s/n,urbana,sucre,conducir en estado de embriaguez,leve,0.0,0.0,3.0,ninguna,seca,despejado
05-27,20:04,-3.9735941,-79.2118036,estrellamiento,s/n,urbana,carigan,conducir en estado de embriaguez,leve,0.0,0.0,1.0,senalizacion vertical,seca,semicubierto
05-29,12:33,-3.9745067,-79.2014307,choque lateral angular,s/n,urbana,el valle,imprudencia del conductor,grave,1.0,0.0,2.0,senalizacion vertical,seca,despejado
05-29,13:25,-3.9710329,-79.2100988,atipico,s/n,urbana,carigan,imprudencia del conductor,leve,0.0,0.0,4.0,ninguna,seca,despejado
05-29,15:15,-3.9787228,-79.2208448,choque por alcance,s/n,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
05-31,10:40,-3.9892911,-79.2036379,choque lateral perpendicular,s/n,urbana,el sagrario,imprudencia del conductor,leve,0.0,0.0,2.0,senalizacion vertical,seca,despejado
05-31,07:50,-4.010099,-79.229271,choque lateral perpendicular,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,2.0,ninguna,seca,despejado
06-02,08:30,-3.9859549,-79.2100016,choque por alcance,s/n,urbana,sucre,imprudencia del conductor,grave,1.0,0.0,2.0,ninguna,seca,despejado
06-02,22:59,-4.0098183,-79.2178919,estrellamiento,s/n,urbana,sucre,conducir en exceso de velocidad,leve,0.0,0.0,2.0,ninguna,seca,semicubierto
